90;[86, 91[;[81, 91[;[81, 101[;[81, 101[;*
91;[91, 96[;[91, 101[;[81, 101[;[81, 101[;*
92;[91, 96[;[91, 101[;[81, 101[;[81, 101[;*
93;[91, 96[;[91, 101[;[81, 101[;[81, 101[;*
94;[91, 96[;[91, 101[;[81, 101[;[81, 101[;*
95;[91, 96[;[91, 101[;[81, 101[;[81, 101[;*
96;[96, 101[;[91, 101[;[81, 101[;[81, 101[;*
97;[96, 101[;[91, 101[;[81, 101[;[81, 101[;*
98;[96, 101[;[91, 101[;[81, 101[;[81, 101[;*
99;[96, 101[;[91, 101[;[81, 101[;[81, 101[;*
100;[96, 101[;[91, 101[;[81, 101[;[81, 101[;*
